player name,def_cluster
Andres Ibarguen,B
Boyd Kjeld van der Vuurst de Vries,A
Jeffrey Xavier,A
Xabi Oroz,A
Joan Tomas,A
Ryan Nicholas,A
Jaime Fernandez Manzanares,B
Xavier Rey Sanuy,B
Paul Jorgensen,A
Justin Pitts,A
Hansel Giovanny Atencia Suarez,A
Njegos Sikiras,A
Chris-Ebou Ndow,A
Dominic Gilbert,A
Zaid Hearst,A
Edwin Jackson,A
Olaf Schaftenaar,A
Abdou Thiam,B
Thomas De Thaey,A
Serhii Pavlov,B
Yannis Mendy,B
Keith Omoerah,A
Thomas Klepeisz,A
Yago Mateus dos Santos,A
Karim Jallow,A
Robin Manuel Christen,A
Joshua Hawley,A
Juan Nunez Garcia,A
Harald Frey,A
Freddie Gillespie,B
DeWayne Russell,A
Jan-Niklas Wimberg,A
Till Pape,B
Brandon Paul,A
TJ Holyfield,B
Trey Drechsel,A
Rayshaun Hammonds,B
Harper Kamp,B
Ognjen Jaramaz,A
Javon Anthony Bess,A
Isaac Bonga,A
Fedor Zugic,A
John Bryant,B
Bogdan Radosavljevic,B
Robin Amaize,A
Louis Olinde,A
Martin Breunig,B
Maximilian Ugrai,B
Lukas Wank,A
Torrian Corey Walden,A
Myles Stephens,A
Nick Weiler-Babb,A
Kalif Young,B
Arunas Mikalauskas,A
Ahmed Hill,A
Jaren Michael Lewis,B
Maximilian DiLeo,A
Len Schoormann,A
Ziga Samar,A
Stanley Whittaker,A
Cameron Hunt,A
Selom Mawugbe,B
Mark Smith,A
O'Showen Williams,A
Malte Delow,A
Bastian Doreth,A
Mathis Monninghoff,A
Sid-Marlon Theis,A
Johannes Thiemann,A
Vincent Kesteloot,A
Edon Maxhuni,A
Jonas Wohlfarth-Bottermann,B
Lukas Meisner,A
Tremmell Darden,A
Geno Crandall,A
Kay Bruhnke,A
Jonas Mattisseck,A
Till Gloger,B
Filip Stanic,B
Nicholas Tischler,A
Brandon Tischler,A
Tim Schneider,A
Fabian Bleck,B
Kostja Mushidi,A
Cassius Winston,A
Owen Klassen,B
Elias Lasisi,A
Jaleen Smith,A
Eric Washington,A
Jackson Rowe,B
Christoph Philipps,A
Sananda Fru,B
Quantez Robertson,A
Andreas Obst,A
Bennet Hundt,A
Otis Livingston II,A
Stephon Jelks,A
Yanni Wetzell,B
Derrick Alston Jr.,A
JeQuan Lewis,A
Asbjorn Midtgaard,B
Julius Bohmer,A
David Kramer,A
Nijal Pearson,A
Bruno Caboclo,B
Seth Hinrichs,A
Luc Van Slooten,A
Sasha Mattias Grant,A
Yoeli Childs,B
Kristopher Clyburn,A
Christopher Carter,A
Nat-Sidi Diallo,B
Maurice Stuckey,A
Maodo Lo,A
Brandon Childress,A
Tanner Leissner,A
Nico Carvacho,B
Christ Koumadje,B
Mitchell Ballock,A
Collin Welp,B
Joshua Obiesie,A
Alen Pjanic,A
Charles Callison,A
Akeem Vargas,A
Yovel Zoosman,A
Jason George,A
James Frazier,A
Bryan Griffin,B
David Fuchs,B
Paul Zipser,A
Luke Sikma,B
Patrick Miller,A
Tim Coleman,A
Gabriele Procida,A
Norris Agbakoko,B
Felix Hoffmann,A
Tyler Nelson,A
Ben Lammers,B
Laurynas Beliauskas,A
Braydon Hobbs,A
Shyron Ely,A
Jordan Roland,A
Benedikt Turudic,B
Jilson Bango,B
Tamir Blatt,A
Osaro Jurgen Rich,B
Lucas Herzog,A
Marcus Lewis,A
Ignas Sargiunas,A
Philipp Herkenhoff,B
Kenneth Ogbe,A
Sam Waardenburg,A
James Woodard,A
Einaras Tubutis,B
Elias Harris,B
Hassani Gravett,A
Zylan Cheatham,B
Matt Haarms,B
Isaiah Washington,A
Scottie Reynolds,A
Divine Myles,B
Bruno Vrcic,A
C.J. Bryce,A
Dayon Griffin,A
Augustine Rubit,A
Xeyrius Clifton Williams,B
MaCio Teague,A
De'jon Davis,A
Mario Ihring,B
Jack McVeigh,A
Derek Cooke Jr.,B
Jordan Theodore,A
Marcos Portalez Mur,B
Damian Prgomet,B
Gaizka Maiza Apecechea,A
Ousmane Ndiaye,A
Joseba Querejeta,A
Maximiliano Sole Mouratay,A
Corey Silverstrom,A
Juan Hierrezuelo,B
Erikas Kalinicenko,A
Toni Naspler Peraire,A
Guillem Vazquez Vallejo,A
Hunter Preston,A
Guillermo Bastante,A
Jorge Martinez Cabezudo,A
Martin Fernandez Carballo,A
Sergio Hernandez Benaches,A
Adrian Galvez Orts,A
Luis Verdeguer Ferrer,B
Sergio Romero Sanchez,A
Erik Persson,A
Jeffrey Godspower,A
